time,lat,lon,depth,mag
2012-06-29 08:13:19.040000+00:00,37.58,72.357,62.0,4.2
2012-06-29 02:06:58.250000+00:00,37.835,69.454,18.3,4.6
2012-06-27 19:36:22.900000+00:00,36.441,79.358,36.7,4.1
2012-06-27 18:27:38.980000+00:00,36.475,71.464,106.9,4.3
2012-06-26 08:47:02.730000+00:00,34.913,73.633,41.1,4.3
2012-06-24 21:49:33.060000+00:00,36.543,71.362,97.7,4.4
2012-06-24 12:13:02.520000+00:00,34.318,80.248,41.1,4.3
2012-06-24 11:22:40.470000+00:00,36.159,70.591,101.5,4.4
2012-06-24 02:26:38.820000+00:00,37.359,71.589,106.5,4.1
2012-06-22 04:47:50.360000+00:00,30.093,96.832,10.0,4.2
2012-06-22 03:43:38.660000+00:00,32.164,94.958,10.0,4.3
2012-06-22 03:20:28.230000+00:00,21.757,98.345,10.0,4.2
2012-06-22 02:51:39.130000+00:00,36.044,69.355,76.0,4.1
2012-06-22 02:28:02.130000+00:00,32.03,95.052,10.0,4.1
2012-06-21 02:00:26.850000+00:00,26.67,66.133,42.5,4.4
2012-06-20 15:05:54.700000+00:00,34.941,73.62,41.0,4.3
2012-06-20 13:46:34.620000+00:00,36.559,71.045,153.1,4.2
2012-06-19 20:14:05.720000+00:00,23.647,70.252,28.6,5.0
2012-06-19 14:00:07.610000+00:00,28.728,76.685,10.0,4.1
2012-06-15 09:36:20.150000+00:00,30.143,69.283,10.0,4.1
2012-06-13 15:12:56.250000+00:00,36.465,71.166,113.3,4.0
2012-06-12 17:02:02.660000+00:00,23.71,94.305,45.3,4.7
2012-06-11 08:32:51.700000+00:00,36.248,69.348,12.6,4.2
2012-06-11 05:29:11.510000+00:00,36.023,69.351,16.0,5.7
2012-06-11 05:02:14.250000+00:00,36.039,69.401,29.1,5.4
2012-06-11 05:01:54.380000+00:00,36.036,69.062,10.0,4.3
2012-06-11 04:35:59.960000+00:00,27.306,88.13,51.5,4.5
2012-06-10 15:12:08.060000+00:00,4.745,96.112,19.5,4.7
2012-06-10 03:29:40.580000+00:00,36.235,71.028,107.0,4.5
2012-06-09 07:54:11.100000+00:00,28.4,84.126,20.1,4.8
2012-06-08 13:42:45.830000+00:00,36.396,70.857,218.6,4.3
2012-06-08 03:18:41.050000+00:00,36.194,70.771,93.2,4.0
2012-06-06 04:38:58.010000+00:00,25.137,96.577,54.7,4.5
2012-06-05 17:43:15.220000+00:00,36.562,70.328,191.3,4.2
2012-06-05 11:01:20+00:00,5.482,94.672,54.4,5.3
2012-06-03 23:19:16.720000+00:00,35.829,79.72,45.2,4.3
2012-06-03 10:49:41.180000+00:00,35.812,99.842,10.0,4.5
2012-05-31 15:35:55.660000+00:00,24.602,67.092,10.0,4.0
2012-05-30 13:23:01.490000+00:00,8.217,91.782,16.2,4.9
2012-05-30 09:28:14.190000+00:00,24.517,95.085,108.7,4.5
2012-05-30 01:54:30.620000+00:00,27.328,87.974,35.4,4.3
2012-05-29 13:49:55.430000+00:00,36.288,70.298,157.9,4.1
2012-05-29 10:09:53.400000+00:00,33.153,89.433,24.3,4.0
2012-05-28 15:08:16.410000+00:00,36.784,71.214,103.7,4.3
2012-05-27 20:50:22.610000+00:00,30.822,83.466,35.0,4.8
2012-05-27 16:03:58.940000+00:00,36.424,71.357,106.2,4.6
2012-05-27 15:01:27.040000+00:00,26.491,91.1,34.7,4.3
2012-05-27 09:29:58.120000+00:00,33.878,72.804,48.4,4.6
2012-05-26 04:21:05.700000+00:00,12.902,92.007,26.7,4.3
2012-05-26 03:59:45.770000+00:00,36.004,70.716,107.6,4.3
2012-05-25 03:11:39.630000+00:00,18.105,93.403,35.0,4.3
2012-05-24 20:26:35.340000+00:00,30.007,66.842,10.0,4.1
2012-05-24 19:39:27.860000+00:00,14.42,93.318,46.1,4.9
2012-05-24 17:07:12.080000+00:00,28.718,66.668,10.0,4.2
2012-05-24 13:46:30.530000+00:00,5.376,94.508,62.9,4.6
2012-05-23 03:49:47.600000+00:00,36.483,70.427,206.4,4.3
2012-05-22 07:08:38.210000+00:00,27.834,66.362,38.0,4.3
2012-05-22 02:55:18.040000+00:00,33.898,72.596,16.4,4.2
2012-05-22 02:04:44.800000+00:00,36.295,71.492,121.9,4.3
2012-05-21 21:38:38.020000+00:00,37.948,77.11,31.4,4.8
2012-05-21 05:50:25.780000+00:00,4.18,92.737,10.0,4.2
2012-05-19 19:10:38.070000+00:00,15.17,96.828,10.0,4.6
2012-05-19 14:02:31.310000+00:00,33.629,87.016,8.1,4.6
2012-05-19 09:57:39.600000+00:00,33.77,87.265,10.0,4.1
2012-05-18 16:13:16.390000+00:00,4.663,94.888,10.0,4.1
2012-05-18 12:45:53.160000+00:00,34.509,69.618,10.0,4.8
2012-05-17 12:28:17.410000+00:00,36.34,71.081,97.1,4.2
2012-05-15 19:08:00.350000+00:00,4.52,93.755,10.0,4.9
2012-05-14 14:43:40.840000+00:00,37.23,71.702,148.1,4.6
2012-05-14 00:12:22.250000+00:00,36.301,70.67,103.4,4.2
