recent_quakes_7d,recent_quakes_30d,max_mag_7d,max_mag_30d,energy_index_30d,depth_avg_30d,dist_to_fault_km,seismic_zone,label,lat,lon,date
0,0,0.0,0.0,0.0,35.0,1172.6,2,1,37.835,69.454,2012-06-29
0,0,0.0,0.0,0.0,35.0,30.4,5,1,23.647,70.252,2012-06-19
0,1,0.0,4.5,2371.37,108.7,120.0,5,1,23.71,94.305,2012-06-12
5,9,5.4,5.4,22948.98,124.2,993.2,2,1,36.023,69.351,2012-06-11
5,9,4.5,4.5,14100.17,132.8,993.2,2,1,36.039,69.401,2012-06-11
0,1,0.0,4.3,1678.8,35.4,36.4,4,1,27.306,88.13,2012-06-11
0,1,0.0,4.1,1188.5,10.0,73.1,2,1,4.745,96.112,2012-06-10
3,12,4.3,4.6,20456.9,138.0,957.4,2,1,36.235,71.028,2012-06-10
0,0,0.0,0.0,0.0,35.0,16.6,2,1,28.4,84.126,2012-06-09
0,0,0.0,0.0,0.0,35.0,144.5,5,1,25.137,96.577,2012-06-06
0,3,0.0,4.9,8738.4,27.6,56.9,2,1,5.482,94.672,2012-06-05
0,0,0.0,0.0,0.0,35.0,1016.1,2,1,35.812,99.842,2012-06-03
0,0,0.0,0.0,0.0,35.0,34.0,2,1,8.217,91.782,2012-05-30
0,0,0.0,0.0,0.0,35.0,122.0,5,1,24.517,95.085,2012-05-30
0,0,0.0,0.0,0.0,35.0,247.0,2,1,30.822,83.466,2012-05-27
3,12,4.3,4.7,20764.14,159.8,969.0,2,1,36.424,71.357,2012-05-27
1,1,4.2,4.2,1412.54,16.4,663.5,2,1,33.878,72.804,2012-05-27
0,1,0.0,5.2,7943.28,35.0,114.8,5,1,14.42,93.318,2012-05-24
1,3,4.1,4.9,7915.28,31.9,41.8,2,1,5.376,94.508,2012-05-24
0,0,0.0,0.0,0.0,35.0,976.5,2,1,37.948,77.11,2012-05-21
0,0,0.0,0.0,0.0,35.0,261.4,2,1,15.17,96.828,2012-05-19
1,1,4.1,4.1,1188.5,10.0,638.5,2,1,33.629,87.016,2012-05-19
0,0,0.0,0.0,0.0,35.0,826.2,2,1,34.509,69.618,2012-05-18
1,5,4.4,5.1,14492.35,42.0,98.3,2,1,4.52,93.755,2012-05-15
4,11,4.3,4.7,17693.25,168.6,1048.5,2,1,37.23,71.702,2012-05-14
0,1,0.0,4.2,1412.54,35.0,84.6,5,1,26.175,92.889,2012-05-11
2,2,4.9,4.9,8081.17,10.0,573.0,2,1,4.841,87.903,2012-05-09
1,1,4.9,4.9,4731.51,10.0,569.0,2,1,4.976,87.845,2012-05-09
0,3,0.0,4.7,8111.85,10.5,229.3,2,1,4.017,92.682,2012-05-06
0,0,0.0,0.0,0.0,35.0,574.6,2,1,4.812,87.907,2012-05-05
1,5,4.5,4.6,8868.56,148.5,978.2,2,1,36.347,70.711,2012-05-03
2,21,4.9,5.7,89270.92,14.0,194.6,5,1,8.929,93.903,2012-05-03
1,5,4.7,4.7,10395.09,28.3,66.7,5,1,10.1,93.101,2012-05-03
8,20,5.1,5.7,84539.41,14.2,191.1,5,1,8.88,93.821,2012-05-02
17,18,5.7,5.7,77208.68,15.6,124.1,5,1,10.037,93.633,2012-05-01
0,0,0.0,0.0,0.0,35.0,112.8,5,1,14.405,93.327,2012-04-30
2,7,4.2,4.9,16454.88,164.2,972.3,2,1,36.414,71.183,2012-04-27
0,0,0.0,0.0,0.0,35.0,805.6,2,1,36.422,82.554,2012-04-25
17,17,5.7,5.7,72827.51,13.0,200.1,5,1,8.826,93.882,2012-04-25
11,11,5.7,5.7,59805.73,11.4,148.1,5,1,9.19,93.572,2012-04-25
10,10,5.7,5.7,60226.93,15.1,204.7,5,1,8.971,94.048,2012-04-25
7,7,5.7,5.7,47694.98,17.1,193.8,5,1,8.945,93.906,2012-04-25
6,6,5.5,5.5,28858.49,18.4,192.9,5,1,9.011,93.945,2012-04-25
5,5,5.5,5.5,26487.11,21.3,203.5,5,1,8.802,93.902,2012-04-24
4,4,5.5,5.5,22506.04,22.8,202.1,5,1,8.855,93.931,2012-04-24
3,3,5.5,5.5,20134.67,23.2,195.6,5,1,8.84,93.84,2012-04-24
2,2,5.5,5.5,17316.29,29.9,195.4,5,1,9.032,93.987,2012-04-24
1,1,4.8,4.8,3981.07,45.6,202.7,5,1,8.868,93.949,2012-04-24
0,0,0.0,0.0,0.0,35.0,152.8,5,1,7.801,93.946,2012-04-22
0,8,0.0,4.9,17651.14,144.4,1015.3,2,1,36.527,70.13,2012-04-17
1,7,4.6,5.2,24040.54,53.3,43.6,2,1,5.373,94.621,2012-04-17
0,0,0.0,0.0,0.0,35.0,98.8,5,1,25.244,94.983,2012-04-13
2,2,4.7,4.7,4762.19,10.8,230.3,2,1,4.211,92.579,2012-04-12
2,3,4.3,4.3,4770.15,37.7,191.1,2,1,4.464,92.862,2012-04-12
2,6,4.5,5.2,20775.15,57.5,107.6,2,1,5.924,94.789,2012-04-11
0,0,0.0,0.0,0.0,35.0,367.7,2,1,4.601,90.78,2012-04-11
0,0,0.0,0.0,0.0,35.0,587.7,2,1,34.383,82.386,2012-04-10
0,0,0.0,0.0,0.0,35.0,1574.9,2,1,4.225,67.557,2012-04-10
1,6,4.3,5.2,20529.59,57.3,33.2,2,1,5.096,94.216,2012-04-08
2,16,4.9,5.6,47579.55,94.0,1074.5,2,1,37.537,71.909,2012-04-02
3,3,5.2,5.2,12440.47,68.6,46.3,2,1,5.411,94.567,2012-03-31
2,10,4.6,4.6,21287.52,126.5,978.4,2,1,36.496,71.287,2012-03-31
2,2,4.6,4.6,4497.19,73.2,44.6,2,1,4.616,95.115,2012-03-30
0,1,0.0,4.0,1000.0,101.5,146.3,2,1,21.619,94.754,2012-03-29
0,0,0.0,0.0,0.0,35.0,54.8,2,1,4.58,95.012,2012-03-28
0,0,0.0,0.0,0.0,35.0,580.4,2,1,28.769,66.716,2012-03-28
0,0,0.0,0.0,0.0,35.0,103.9,3,1,26.087,87.777,2012-03-27
2,6,4.5,4.6,12537.89,153.3,949.0,2,1,36.124,70.91,2012-03-25
1,1,4.2,4.2,1412.54,53.2,754.5,2,1,33.693,89.295,2012-03-25
11,16,5.0,5.4,55659.53,38.7,116.5,5,1,9.481,93.423,2012-03-20
3,4,4.6,4.6,8171.25,131.4,980.1,2,1,36.429,70.947,2012-03-20
0,0,0.0,0.0,0.0,35.0,341.6,5,1,29.434,94.873,2012-03-19
0,0,0.0,0.0,0.0,35.0,270.5,5,1,23.662,90.259,2012-03-18
0,1,0.0,4.9,4731.51,70.1,127.3,2,1,6.867,94.592,2012-03-17
10,10,5.0,5.0,26988.02,45.7,155.3,5,1,10.542,93.808,2012-03-16
9,9,5.0,5.0,24169.64,46.9,137.7,5,1,10.478,93.661,2012-03-16
7,7,5.0,5.0,19938.72,49.7,148.7,5,1,10.533,93.746,2012-03-15
11,13,4.7,4.7,27167.32,63.4,966.2,2,1,36.427,71.489,2012-03-15
4,4,5.0,5.0,13712.53,64.4,151.0,5,1,10.535,93.768,2012-03-15
2,2,4.9,4.9,6410.32,71.2,159.6,5,1,10.535,93.854,2012-03-14
1,1,4.3,4.3,1678.8,74.1,171.1,5,1,10.679,94.004,2012-03-14
6,6,5.6,5.6,28684.08,12.0,971.9,2,1,36.87,73.004,2012-03-12
5,5,5.6,5.6,26312.71,12.4,930.0,2,1,36.481,73.028,2012-03-12
4,4,5.6,5.6,22963.05,13.0,948.7,2,1,36.674,73.091,2012-03-12
3,3,5.6,5.6,20591.68,14.0,941.6,2,1,36.56,72.913,2012-03-12
2,2,5.6,5.6,18220.31,10.5,951.1,2,1,36.64,72.876,2012-03-12
1,1,5.6,5.6,15848.93,11.0,924.3,2,1,36.447,73.104,2012-03-12
0,0,0.0,0.0,0.0,35.0,954.2,2,1,36.741,73.152,2012-03-12
4,5,5.4,5.4,26072.3,24.4,217.0,5,1,8.555,93.891,2012-03-10
3,4,5.4,5.4,23253.91,29.2,210.9,5,1,8.513,93.845,2012-03-10
0,1,0.0,4.6,2818.38,39.8,137.6,5,1,11.517,92.036,2012-03-10
0,0,0.0,0.0,0.0,35.0,549.5,2,1,34.194,81.819,2012-03-07
2,2,5.4,5.4,15951.7,43.4,215.3,5,1,8.559,93.873,2012-03-06
0,0,0.0,0.0,0.0,35.0,196.6,5,1,8.571,93.691,2012-03-06
0,0,0.0,0.0,0.0,35.0,55.1,4,1,28.809,76.649,2012-03-05
0,1,0.0,4.5,2371.37,35.0,176.4,2,1,4.197,97.062,2012-03-05
0,0,0.0,0.0,0.0,35.0,570.5,2,1,33.977,83.461,2012-03-02
0,0,0.0,0.0,0.0,35.0,102.6,5,1,7.254,94.036,2012-03-02
1,2,4.6,4.8,6799.45,37.4,131.6,5,1,13.004,92.558,2012-03-01
0,0,0.0,0.0,0.0,35.0,162.6,5,1,27.447,91.237,2012-03-01
0,0,0.0,0.0,0.0,35.0,125.8,5,1,23.999,94.613,2012-02-28
0,0,0.0,0.0,0.0,35.0,62.7,5,1,12.249,92.683,2012-02-27
0,0,0.0,0.0,0.0,35.0,746.4,2,1,29.434,64.416,2012-02-26
0,1,0.0,4.8,3981.07,35.0,11.1,2,1,4.99,94.4,2012-02-22
0,0,0.0,0.0,0.0,35.0,851.2,2,1,36.68,76.826,2012-02-21
2,2,5.0,5.0,8441.8,10.0,705.1,2,1,35.84,79.835,2012-02-20
1,1,4.6,4.6,2818.38,10.0,692.5,2,1,35.723,79.717,2012-02-20
0,0,0.0,0.0,0.0,35.0,690.6,2,1,35.702,79.603,2012-02-20
0,1,0.0,4.5,2371.37,58.3,90.3,2,1,4.455,96.313,2012-02-20
0,0,0.0,0.0,0.0,35.0,554.0,2,1,32.298,70.952,2012-02-18
0,0,0.0,0.0,0.0,35.0,384.2,2,1,32.388,82.787,2012-02-17
0,5,0.0,4.7,12065.94,121.9,976.2,2,1,36.378,70.892,2012-02-16
0,0,0.0,0.0,0.0,35.0,69.7,5,1,6.306,92.9,2012-02-15
0,0,0.0,0.0,0.0,35.0,1010.2,2,1,36.079,68.976,2012-02-13
1,2,4.3,4.6,4497.19,74.0,125.6,5,1,26.146,94.253,2012-02-10
0,0,0.0,0.0,0.0,35.0,222.5,4,1,30.986,78.282,2012-02-09
0,1,0.0,4.4,1995.26,54.4,85.1,5,1,13.645,93.027,2012-02-06
3,7,4.7,5.0,17899.58,112.6,996.8,2,1,36.518,70.688,2012-02-04
2,6,4.5,5.0,14549.93,113.9,964.9,2,1,36.389,71.371,2012-02-03
1,5,4.0,5.0,12178.55,120.8,963.7,2,1,36.41,71.52,2012-02-03
3,9,4.3,4.7,13720.84,163.9,915.4,2,1,35.711,70.599,2012-12-29
3,8,5.5,5.5,29618.31,31.9,65.3,5,1,22.783,95.908,2012-12-26
0,1,0.0,4.3,1678.8,10.8,556.9,2,1,28.464,66.465,2012-12-25
3,8,4.3,4.7,12308.3,156.4,1110.0,2,1,37.45,70.168,2012-12-24
1,8,4.7,4.7,17695.64,20.4,131.9,5,1,22.443,94.782,2012-12-22
0,0,0.0,0.0,0.0,35.0,36.2,2,1,5.169,94.221,2012-12-22
2,6,4.7,4.7,12933.45,14.2,54.4,5,1,22.862,95.99,2012-12-20
0,1,0.0,4.4,1995.26,97.2,129.7,5,1,25.399,96.61,2012-12-18
1,7,4.3,4.9,16310.57,16.6,70.1,5,1,22.745,95.874,2012-12-14
2,19,4.3,6.8,208473.06,13.2,63.7,5,1,23.11,95.889,2012-12-03
1,10,4.2,4.9,19350.41,139.3,978.4,2,1,36.476,71.2,2012-12-01
0,0,0.0,0.0,0.0,35.0,31.5,4,1,27.22,88.2,2012-11-30
1,1,5.1,5.1,6683.44,53.7,115.1,5,1,14.469,94.174,2012-11-29
0,0,0.0,0.0,0.0,35.0,42.7,5,1,13.85,93.637,2012-11-26
0,0,0.0,0.0,0.0,35.0,227.1,5,1,23.62,91.482,2012-11-25
2,3,5.3,5.3,14834.22,10.5,586.9,2,1,30.398,67.457,2012-11-19
1,2,5.3,5.3,10853.15,10.0,583.8,2,1,30.492,67.566,2012-11-19
0,1,0.0,4.2,1412.54,10.0,585.2,2,1,30.538,67.584,2012-11-19
4,16,5.0,6.8,200333.75,18.4,55.4,5,1,22.992,95.959,2012-11-19
1,1,4.8,4.8,3981.07,22.0,92.8,2,1,19.235,95.652,2012-11-18
1,8,4.1,4.8,13633.18,130.4,1067.3,2,1,37.512,72.052,2012-11-16
13,14,6.8,6.8,192715.07,19.6,58.2,5,1,22.895,95.943,2012-11-13
